authors	title	citation	doi	year	month	simple_duplication	reposition_duplication	alteration_duplication	cuts_and_beautification	findings	reported	correction_date	retraction	correction	no_action	completed	first_author	affiliation	publications	citations	year_start	year_end	top_topics	publication_types	top_authors	top_journals	top_institutions	top_conferences	lab_size_approx	publication_variety	journal_variety	institution_variety	conference_variety	biology	medicine	immunology	cancer	biochemistry	virology	career_duration	publication_rate	highest_degree	degree_area	degree_level	total_cites	impact_factor	eigenfactor	web_interest	images_interest	youtube_interest	academic_reputation	affiliation_funding
Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, January 2013 | Volume 8 | Issue 1 | e53510	10.1371/journal.pone.0053510	2013	January	1	0	1	0	duplicated blot, shifted microscopy	1	2015-10-09	0	1	0	1	Inka Regine Weingaertner	Ludwig Maximilian University of Munich	1	7	2013	2013	Receptor tyrosine kinase|ERBB3|Neuregulin 1|ErbB|Signal transduction|Medicine|Protein kinase B|PI3K/AKT/mTOR pathway|Cancer cell|Pharmacology	Journal publications	Hermann Ammer|Sarah Koutnik	PLOS ONE	Ludwig Maximilian University of Munich	NA	2	1	1	1	0	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	7	0.14285714285714285	NA	NA	4	226708	3.53	1.17	11	8.75	7.25	75.4	public
Jessica M. Esparza, Eileen OÕToole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940	10.1371/journal.pone.0053940	2013	January	0	1	0	0	duplicated colony strip	1	2016-01-15	0	1	0	1	Jessica M. Esparza	Ruhr University Bochum	127	9739	1993	2019	Hydrogenase|Chemistry|Chlamydomonas reinhardtii|Biochemistry|Biology|Active site|Photosynthesis|Hydrogen|Inorganic chemistry|Photochemistry	Journal publications|Other|Book chapters	Wolfgang Lubitz|Martin Winkler|Anja Hemschemeier|Julian Esselborn|Camilla Lambertz|Fraser A. Armstrong|Sven T. Stripp|Edward J. Reijerse|Anastasios Melis|Ulf-Peter Apfel	Journal of the American Chemical Society|Proceedings of the National Academy of Sciences of the United States of America|Biochimica et Biophysica Acta|Angewandte Chemie|Journal of Biological Chemistry|Nature|Chemical Science|Plant Physiology|FEBS Journal|Photosynthesis Research	Ruhr University Bochum|Max Planck Society|University of Oxford|Centre national de la recherche scientifique|Stockholm University|Collège de France|University of Bonn|Free University of Berlin|Commissariat à l'énergie atomique et aux énergies alternatives|University of California, Berkeley	NA	10	3	10	10	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	27	4.703703703703703	NA	NA	4	332716	3.234	1.53341	21.25	18	10	54.5	public
Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285	10.1371/journal.pone.0057285	2013	February	0	0	1	0	reuse of one lane in different blot experiment	1	2015-08-04	0	1	0	1	Sreedevi Avasarala	University of Illinois at Chicago	19	436	2012	2020	Biology|Lung cancer|Cell biology|Cancer research|Molecular biology|Cancer|Wnt signaling pathway|Frizzled|In vitro|Methylation	Journal publications	Robert A. Winn|Rama Kamesh Bikkavilli|Michelle Van Scoyk|Manoj Kumar Karuppusamy Rathinam|Stanley Borowicz|Jordi Tauler|Pei-Ying Wu|Sereke Zerayesus|Wei Zhang|Marybeth Sechler	Journal of Biological Chemistry|Journal of Visualized Experiments|Cancer Research|Oncogene|Pharmacogenomics and Personalized Medicine|PLOS ONE|Scientific Reports|Biology Open|Molecular Cancer Research|Immunology	University of Illinois at Chicago|Anschutz Medical Campus|University of Colorado Denver|Rush University Medical Center|University of Illinois at Urbana–Champaign|University of Arizona|University at Albany, SUNY|University of Texas MD Anderson Cancer Center|Temple University|State University of New York System	NA	10	1	10	10	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	8	2.375	Associate	Biochemistry	3	332716	3.23	1.53	14.25	12.5	9.25	NA	public
Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin 	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170	10.1371/journal.pone.0062170	2013	April	1	0	0	1	Duplicated / mirrored bands in blot	1	2017-04-10	1	0	0	1	Rounak Nassirpour	University of California, San Diego	5	335	2002	2013	Medicine|Cancer|Pathology|Pancreatic tumor|Metastasis|Pancreatic cancer|Primary tumor|Imaging technology|Pancreatic disease|Pancreas	Journal publications	Michael Bouvet|Robert M. Hoffman|Meng Yang|Jinwei Wang|Stephanie R. Nardin|A. R. Moossa|Ping Jiang|Eugene Baranov|Fang-Xian Sun|Shigeo Yagi	Cancer Research|Journal of Surgical Research|PLOS ONE	University of Texas MD Anderson Cancer Center|University of California, San Diego	NA	10	1	3	2	0	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	18	0.2777777777777778	NA	NA	4	332716	3.23	1.53	28.25	18.5	23.75	82.8	public
Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904	10.1371/journal.pone.0064904	2013	May	0	1	0	0	multiple duplicated microscopy images	1	2014-09-19	0	1	0	1	Jianuo Liu	University of Nebraska Medical Center	39	869	2006	2018	Biology|Microglia|Immunology|Immune system|Neuroprotection|Neurotoxicity|Molecular biology|Neuroscience|Cell biology|Neuroinflammation	Journal publications|Other	Huangui Xiong|Howard Eliot Gendelman|Nan Gong|Enquan Xu|Han Liu|Tong Wang|James Keblesh|R Lee Mosley|Pawel S Ciborowski|Irena Kadiu	Journal of Neuroimmune Pharmacology|PLOS ONE|Journal of Neurochemistry|Journal of Immunology|International journal of physiology, pathophysiology and pharmacology|Glia|Brain Sciences|European Journal of Immunology|Free Radical Biology and Medicine|Cell Death and Disease	University of Nebraska Medical Center|Nanchang University|Jinan University|Xi'an Jiaotong University|Columbia University|University of Virginia|Temple University|National Veterinary Institute|Southern Medical University|Tokyo Medical and Dental University	NA	10	2	10	10	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	14	2.7857142857142856	NA	NA	4	332716	3.23	1.53	14	10.25	11.25	NA	public
Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581	10.1371/journal.pone.0063581	2013	May	0	0	1	0	part of blot panel reused to represent different protein	1	NA	0	1	0	1	Yang Wang	Peking University	175	7493	1989	2020	Geology|Geophysics|Paleontology|Physics|Medicine|Magnetosphere|Ecology|Atmospheric sciences|Plateau|Immunology	Journal publications|Other|Patents	Tao Deng|Xiao-Jun Huang|Xu-Zhi Zhou|S. Y. Fu|Q. G. Zong|Qiugang Zong|Xu Lp|Hui Zhang|Liu Ky|Xiaoming Wang	Journal of Geophysical Research|Bone Marrow Transplantation|Palaeogeography, Palaeoclimatology, Palaeoecology|Earth and Planetary Science Letters|Nature|PLOS ONE|Science|Clinical Microbiology and Infection|Science of The Total Environment|Global Biogeochemical Cycles	Peking University|Florida State University|Chinese Academy of Sciences|Natural History Museum of Los Angeles County|University of California, Los Angeles|University of Massachusetts Lowell|University of Alaska Fairbanks|University of California, Berkeley|Max Planck Society|Gansu Provincial Museum	NA	10	3	10	10	0	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	31	5.645161290322581	Master	Biostatistics	7	332716	3.23	1.53	14	10	10.5	73.8	public
Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508	10.1371/journal.pone.0070508	2013	July	1	0	0	1	duplicated lanes within same blot, or in different blots, duplicated microscopy panel	1	2014-10-16	0	1	0	1	Elizabeth Ngoc Hoa Tran	University of Adelaide	17	130	2012	2020	Biology|Shigella flexneri|Microbiology|Virulence|Biochemistry|Mutant|Lipopolysaccharide|Antibody|Molecular biology|Surface plasmon resonance	Journal publications|Other	Renato Morona|Michael P. Jennings|Christopher J. Day|Michael A. Apicella|Evgeny A. Semchenko|Sarah McAtamney|Greg Tram|Rebecca M. King|Preston S. K. Ng|Lauren E. Hartley-Tassell	Proceedings of the National Academy of Sciences of the United States of America|PLOS ONE|Microbiology|Journal of Bacteriology|Biochemical and Biophysical Research Communications|Journal of Molecular Biology|Fems Microbiology Letters|Molecular Microbiology|Scientific Reports|Genome Announcements	University of Adelaide|Griffith University|University of Iowa|University of Queensland|La Trobe University|Australian National University	NA	10	2	10	6	0	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	8	2.125	NA	NA	4	332716	3.23	1.53	8	6.25	4.75	71.2	public
Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	July	0	0	1	0	overlapping microscopy images,but rotated/stretched	1	2015-05-08	0	1	0	1	Fabio Sallustio	University of Bari	93	1008	2006	2019	Medicine|Biology|Immunology|Progenitor cell|Kidney|Nephropathy|Internal medicine|Diabetes mellitus|Cell biology|Renal stem cell	Journal publications|Other|Patents|Book chapters	Francesco Paolo Schena|Grazia Serino|Sharon N. Cox|Francesco Pesce|Claudia Curci|Loreto Gesualdo|Gianluigi Zaza|Giuseppe Castellano|Chiara Divella|Vincenzo Costantino	Nephrology Dialysis Transplantation|Kidney International|PLOS ONE|Journal of The American Society of Nephrology|The FASEB Journal|International Journal of Molecular Sciences|Clinical Science|Arthritis Research & Therapy|The Journal of Allergy and Clinical Immunology|Diseases	University of Bari|University of Foggia|University of Salento|University of Verona|Imperial College London|National Institutes of Health|Istituto Italiano di Tecnologia|University of São Paulo|Shanghai Jiao Tong University|Fujita Health University	NA	10	4	10	10	0	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	14	6.642857142857143	NA	NA	4	332716	3.23	1.53	17	14.25	11.25	53.9	public
Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485	10.1371/journal.pone.0069485	2013	July	0	0	0	1	multiple overlapping microscopy images, groups of cells visible in multiple images	1	2014-11-25	0	1	0	1	Jia Ma	Bengbu Medical College	21	604	2004	2020	Biology|Cell growth|Pancreatic cancer|microRNA|Downregulation and upregulation|Apoptosis|Cancer research|Carcinogenesis|Cell biology|Immunology	Journal publications	Jun Xia|Zhiwei Wang|Ying Shi|Fazlul H. Sarkar|Fanpeng Zeng|Binbin Fang|Long Cheng|Lucio Miele|Cong Ma|Haijie Pang	Current Drug Targets|Toxicology Letters|PLOS ONE|Current Cancer Drug Targets|Oncotarget|Biochemical and Biophysical Research Communications|American Journal of Cancer Research|Pancreatic disorders & therapy|Current Pharmaceutical Design|Cell Cycle	Bengbu Medical College|University of Mississippi|Beth Israel Deaconess Medical Center|Soochow University (Suzhou)|Wayne State University|Soochow University (Taiwan)|Harvard University|Sun Yat-sen University|Southern Medical University|Wenzhou Medical College	NA	10	1	10	10	0	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	16	1.3125	Associate	Clinical Research	3	332716	3.23	1.53	8	5.5	4.5	NA	public
Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon 	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.0069583	2013	July	0	0	0	1	possible duplicated lanes within same blot, patch in other blot	1	2015-07-20	0	1	0	1	Yael Friedman-Levi	Hebrew University of Jerusalem	16	395	2006	2018	Biology|Virology|Disease|Pathogenesis|Creutzfeldt-Jakob Syndrome|Multiple sclerosis|Oxidative phosphorylation|Immunology|Gliosis|Experimental autoimmune encephalomyelitis	Journal publications	Ruth Gabizon|Kati Frid|Orli Binyamin|Tamir Ben-Hur|Tamar Canello|Herbert Budka|Haim Ovadia|Shlomo Magdassi|Michal Mizrahi|Dana Avrahami	PLOS Pathogens|The Journal of Neuroscience|Nanomedicine: Nanotechnology, Biology and Medicine|PLOS ONE|Annals of clinical and translational neurology|International Journal of Nanomedicine|Surgical Endoscopy and Other Interventional Techniques|Neurobiology of Disease|Surgical Innovation|Journal of Virology	Hebrew University of Jerusalem|Tel Aviv University|Tel Aviv Sourasky Medical Center|Medical University of Vienna	NA	10	1	10	4	0	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	14	1.1428571428571428	NA	NA	4	332716	3.23	1.53	15.75	11.75	14.75	60.9	public
