"first_author","title","main_topic","to_search"
"Inka Regine Weingaertner","Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network","medicine","Inka Regine Weingaertner medicine"
"Jessica M. Esparza","Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii","biochemistry","Jessica M. Esparza biochemistry"
"Sreedevi Avasarala","Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome","biology","Sreedevi Avasarala biology"
"Rounak Nassirpour","miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells","medicine","Rounak Nassirpour medicine"
"Jianuo Liu","HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity","biology","Jianuo Liu biology"
"Yang Wang","Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)","medicine","Yang Wang medicine"
"Elizabeth Ngoc Hoa Tran","LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles","biology","Elizabeth Ngoc Hoa Tran biology"
"Fabio Sallustio","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","medicine","Fabio Sallustio medicine"
"Jia Ma","Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species","biology","Jia Ma biology"
"Yael Friedman-Levi","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","biology","Yael Friedman-Levi biology"
"Yan Zhang","Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice","immunology","Yan Zhang immunology"
"Zhongpu Chen","Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a","biology","Zhongpu Chen biology"
"Akrem Abdulsid","Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor","biology","Akrem Abdulsid biology"
"Fang Liu","DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine","immunology","Fang Liu immunology"
"Jagannath Misra","Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH","biology","Jagannath Misra biology"
"Trent Fowler","Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells","biology","Trent Fowler biology"
"Mojca Jez","Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells","biology","Mojca Jez biology"
"Zhenni Zhang","Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway","biology","Zhenni Zhang biology"
"Christophe Broca","Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets","biology","Christophe Broca biology"
"Sylwia Flis","DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells","biology","Sylwia Flis biology"
"Takaharu Nakayoshi","FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs","medicine","Takaharu Nakayoshi medicine"
"Yuri Churin","Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background","medicine","Yuri Churin medicine"
"Chuan Li","Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis","biology","Chuan Li biology"
"Gail Doughton","Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling","biology","Gail Doughton biology"
"Liliana O. Rocha","Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki","biology","Liliana O. Rocha biology"
"Prabuddha Dey","Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005","biochemistry","Prabuddha Dey biochemistry"
"Xiaomei Ge","Stac3 Inhibits Myoblast Differentiation into Myotubes","biology","Xiaomei Ge biology"
"Xudong Shi","TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation","biology","Xudong Shi biology"
"Yushen Jiang","Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II","biology","Yushen Jiang biology"
"Ambrish Kumar","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","biology","Ambrish Kumar biology"
"Bo Gao","Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway","medicine","Bo Gao medicine"
"Yang Liu","Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF","biology","Yang Liu biology"
"Manasa K. Nayak","Aspirin Delimits Platelet Life Span by Proteasomal Inhibition","medicine","Manasa K. Nayak medicine"
"Wasia Rizwani","S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression","cancer research","Wasia Rizwani cancer research"
"Shiuan Wang","The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration","biology","Shiuan Wang biology"
"Apiruck Watthanasurorot","Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans","biology","Apiruck Watthanasurorot biology"
"Dawn E. Watkins-Chow","Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes","biology","Dawn E. Watkins-Chow biology"
"Erica P. Homan","Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues","biology","Erica P. Homan biology"
"Natalia Lopez-del Hoyo","Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity","cell biology","Natalia Lopez-del Hoyo cell biology"
"Cathleen D. Valentine","X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis","biology","Cathleen D. Valentine biology"
"Shipan Dai","Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis","biology","Shipan Dai biology"
"Vicente Ramírez","An Extracellular Subtilase Switch for Immune Priming in Arabidopsis","character(0)","Vicente Ramírez character(0)"
"Haitao Wei","Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection","cancer research","Haitao Wei cancer research"
"Meleri Jones","RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation","virology","Meleri Jones virology"
"Miti Jearaphunt","Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity","biochemistry","Miti Jearaphunt biochemistry"
"Niyas Kudukkil Pulloor","Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response","biology","Niyas Kudukkil Pulloor biology"
"Verity G. Kew","Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency","biology","Verity G. Kew biology"
"Michelle Khai Khun Yap","Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits","biology","Michelle Khai Khun Yap biology"
"Jianming Chen","Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System","biology","Jianming Chen biology"
"Doblin Sandai","The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans","biology","Doblin Sandai biology"
"Anusha M. Gopalakrishnan","Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum","biology","Anusha M. Gopalakrishnan biology"
"Christopher W. Cutler","Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide","immunology","Christopher W. Cutler immunology"
"Brenda A. Wilson","Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus","biology","Brenda A. Wilson biology"
"S. Jeyaseelan","Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes","biology","S. Jeyaseelan biology"
"S. Jeyaseelan","Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects","biology","S. Jeyaseelan biology"
"Nobuo Okahashi","Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells","biology","Nobuo Okahashi biology"
"Stephanie Dahan","Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells","biology","Stephanie Dahan biology"
"Laura W. Schrum","Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast","biology","Laura W. Schrum biology"
