"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"Inka Regine Weingaertner","Ludwig Maximilian University of Munich","1",7,2013,2013,"Receptor tyrosine kinase|ERBB3|Neuregulin 1|ErbB|Signal transduction|Medicine|Protein kinase B|PI3K/AKT/mTOR pathway|Cancer cell|Pharmacology","Journal publications","Hermann Ammer|Sarah Koutnik","PLOS ONE","Ludwig Maximilian University of Munich",NA,NA
"Jessica M. Esparza","Ruhr University Bochum","127",9739,1993,2019,"Hydrogenase|Chemistry|Chlamydomonas reinhardtii|Biochemistry|Biology|Active site|Photosynthesis|Hydrogen|Inorganic chemistry|Photochemistry","Journal publications|Other|Book chapters","Wolfgang Lubitz|Martin Winkler|Anja Hemschemeier|Julian Esselborn|Camilla Lambertz|Fraser A. Armstrong|Sven T. Stripp|Edward J. Reijerse|Anastasios Melis|Ulf-Peter Apfel","Journal of the American Chemical Society|Proceedings of the National Academy of Sciences of the United States of America|Biochimica et Biophysica Acta|Angewandte Chemie|Journal of Biological Chemistry|Nature|Chemical Science|Plant Physiology|FEBS Journal|Photosynthesis Research","Ruhr University Bochum|Max Planck Society|University of Oxford|Centre national de la recherche scientifique|Stockholm University|Collège de France|University of Bonn|Free University of Berlin|Commissariat à l'énergie atomique et aux énergies alternatives|University of California, Berkeley",NA,NA
"Sreedevi Avasarala","University of Illinois at Chicago","19",436,2012,2020,"Biology|Lung cancer|Cell biology|Cancer research|Molecular biology|Cancer|Wnt signaling pathway|Frizzled|In vitro|Methylation","Journal publications","Robert A. Winn|Rama Kamesh Bikkavilli|Michelle Van Scoyk|Manoj Kumar Karuppusamy Rathinam|Stanley Borowicz|Jordi Tauler|Pei-Ying Wu|Sereke Zerayesus|Wei Zhang|Marybeth Sechler","Journal of Biological Chemistry|Journal of Visualized Experiments|Cancer Research|Oncogene|Pharmacogenomics and Personalized Medicine|PLOS ONE|Scientific Reports|Biology Open|Molecular Cancer Research|Immunology","University of Illinois at Chicago|Anschutz Medical Campus|University of Colorado Denver|Rush University Medical Center|University of Illinois at Urbana–Champaign|University of Arizona|University at Albany, SUNY|University of Texas MD Anderson Cancer Center|Temple University|State University of New York System",NA,NA
"Rounak Nassirpour","University of California, San Diego","5",335,2002,2013,"Medicine|Cancer|Pathology|Pancreatic tumor|Metastasis|Pancreatic cancer|Primary tumor|Imaging technology|Pancreatic disease|Pancreas","Journal publications","Michael Bouvet|Robert M. Hoffman|Meng Yang|Jinwei Wang|Stephanie R. Nardin|A. R. Moossa|Ping Jiang|Eugene Baranov|Fang-Xian Sun|Shigeo Yagi","Cancer Research|Journal of Surgical Research|PLOS ONE","University of Texas MD Anderson Cancer Center|University of California, San Diego",NA,NA
"Jianuo Liu","University of Nebraska Medical Center","39",869,2006,2018,"Biology|Microglia|Immunology|Immune system|Neuroprotection|Neurotoxicity|Molecular biology|Neuroscience|Cell biology|Neuroinflammation","Journal publications|Other","Huangui Xiong|Howard Eliot Gendelman|Nan Gong|Enquan Xu|Han Liu|Tong Wang|James Keblesh|R Lee Mosley|Pawel S Ciborowski|Irena Kadiu","Journal of Neuroimmune Pharmacology|PLOS ONE|Journal of Neurochemistry|Journal of Immunology|International journal of physiology, pathophysiology and pharmacology|Glia|Brain Sciences|European Journal of Immunology|Free Radical Biology and Medicine|Cell Death and Disease","University of Nebraska Medical Center|Nanchang University|Jinan University|Xi'an Jiaotong University|Columbia University|University of Virginia|Temple University|National Veterinary Institute|Southern Medical University|Tokyo Medical and Dental University",NA,NA
"Yang Wang","Peking University","175",7493,1989,2020,"Geology|Geophysics|Paleontology|Physics|Medicine|Magnetosphere|Ecology|Atmospheric sciences|Plateau|Immunology","Journal publications|Other|Patents","Tao Deng|Xiao-Jun Huang|Xu-Zhi Zhou|S. Y. Fu|Q. G. Zong|Qiugang Zong|Xu Lp|Hui Zhang|Liu Ky|Xiaoming Wang","Journal of Geophysical Research|Bone Marrow Transplantation|Palaeogeography, Palaeoclimatology, Palaeoecology|Earth and Planetary Science Letters|Nature|PLOS ONE|Science|Clinical Microbiology and Infection|Science of The Total Environment|Global Biogeochemical Cycles","Peking University|Florida State University|Chinese Academy of Sciences|Natural History Museum of Los Angeles County|University of California, Los Angeles|University of Massachusetts Lowell|University of Alaska Fairbanks|University of California, Berkeley|Max Planck Society|Gansu Provincial Museum",NA,NA
"Elizabeth Ngoc Hoa Tran","University of Adelaide","17",130,2012,2020,"Biology|Shigella flexneri|Microbiology|Virulence|Biochemistry|Mutant|Lipopolysaccharide|Antibody|Molecular biology|Surface plasmon resonance","Journal publications|Other","Renato Morona|Michael P. Jennings|Christopher J. Day|Michael A. Apicella|Evgeny A. Semchenko|Sarah McAtamney|Greg Tram|Rebecca M. King|Preston S. K. Ng|Lauren E. Hartley-Tassell","Proceedings of the National Academy of Sciences of the United States of America|PLOS ONE|Microbiology|Journal of Bacteriology|Biochemical and Biophysical Research Communications|Journal of Molecular Biology|Fems Microbiology Letters|Molecular Microbiology|Scientific Reports|Genome Announcements","University of Adelaide|Griffith University|University of Iowa|University of Queensland|La Trobe University|Australian National University",NA,NA
"Fabio Sallustio","University of Bari","93",1008,2006,2019,"Medicine|Biology|Immunology|Progenitor cell|Kidney|Nephropathy|Internal medicine|Diabetes mellitus|Cell biology|Renal stem cell","Journal publications|Other|Patents|Book chapters","Francesco Paolo Schena|Grazia Serino|Sharon N. Cox|Francesco Pesce|Claudia Curci|Loreto Gesualdo|Gianluigi Zaza|Giuseppe Castellano|Chiara Divella|Vincenzo Costantino","Nephrology Dialysis Transplantation|Kidney International|PLOS ONE|Journal of The American Society of Nephrology|The FASEB Journal|International Journal of Molecular Sciences|Clinical Science|Arthritis Research & Therapy|The Journal of Allergy and Clinical Immunology|Diseases","University of Bari|University of Foggia|University of Salento|University of Verona|Imperial College London|National Institutes of Health|Istituto Italiano di Tecnologia|University of São Paulo|Shanghai Jiao Tong University|Fujita Health University",NA,NA
"Jia Ma","Bengbu Medical College","21",604,2004,2020,"Biology|Cell growth|Pancreatic cancer|microRNA|Downregulation and upregulation|Apoptosis|Cancer research|Carcinogenesis|Cell biology|Immunology","Journal publications","Jun Xia|Zhiwei Wang|Ying Shi|Fazlul H. Sarkar|Fanpeng Zeng|Binbin Fang|Long Cheng|Lucio Miele|Cong Ma|Haijie Pang","Current Drug Targets|Toxicology Letters|PLOS ONE|Current Cancer Drug Targets|Oncotarget|Biochemical and Biophysical Research Communications|American Journal of Cancer Research|Pancreatic disorders & therapy|Current Pharmaceutical Design|Cell Cycle","Bengbu Medical College|University of Mississippi|Beth Israel Deaconess Medical Center|Soochow University (Suzhou)|Wayne State University|Soochow University (Taiwan)|Harvard University|Sun Yat-sen University|Southern Medical University|Wenzhou Medical College",NA,NA
"Yael Friedman-Levi","Hebrew University of Jerusalem","16",395,2006,2018,"Biology|Virology|Disease|Pathogenesis|Creutzfeldt-Jakob Syndrome|Multiple sclerosis|Oxidative phosphorylation|Immunology|Gliosis|Experimental autoimmune encephalomyelitis","Journal publications","Ruth Gabizon|Kati Frid|Orli Binyamin|Tamir Ben-Hur|Tamar Canello|Herbert Budka|Haim Ovadia|Shlomo Magdassi|Michal Mizrahi|Dana Avrahami","PLOS Pathogens|The Journal of Neuroscience|Nanomedicine: Nanotechnology, Biology and Medicine|PLOS ONE|Annals of clinical and translational neurology|International Journal of Nanomedicine|Surgical Endoscopy and Other Interventional Techniques|Neurobiology of Disease|Surgical Innovation|Journal of Virology","Hebrew University of Jerusalem|Tel Aviv University|Tel Aviv Sourasky Medical Center|Medical University of Vienna",NA,NA
"Yan Zhang","Second Military Medical University","2",23,2011,2013,"Apoptosis|Immunology|Medicine|Concanavalin A|Hepatitis|Autoimmune hepatitis|Scutellaria baicalensis|Spleen|Baicalein|Mitochondrion","Journal publications","Wei-Dong Zhang|Hua-Wu Zeng|Yaping Hua|Lei Shan|Zhenlin Hu|Runhui Liu|Dan Wang|Huahua Zhang|Zhenlin Hu|Qianfeng Gong","PLOS ONE|Frontiers in Pharmacology","Second Military Medical University|Shanghai Jiao Tong University|Jiangxi University of Traditional Chinese Medicine",NA,NA
"Zhongpu Chen","Southeast University","12",148,2013,2019,"Biology|Molecular biology|DNA methylation|Cell growth|Cancer research|Gene expression|Regulation of gene expression|DNA demethylation|Methylation|Collagen, type I, alpha 1","Journal publications","Genshan Ma|Yuyu Yao|Xiaodong Pan|Rong Huang|Long Chen|Yuning Sun|Zulong Sheng|Rongfeng Xu|Gaoliang Yan|Fengdi Yan","PLOS ONE|Scientific Reports|Experimental and Therapeutic Medicine|Heart Lung and Circulation|Stem Cell Research & Therapy|Biological & Pharmaceutical Bulletin|Journal of Cellular Physiology|Pathology Research and Practice|Cellular Physiology and Biochemistry|Angiology","Southeast University",NA,NA
"Akrem Abdulsid","University of Glasgow","10",41,2013,2018,"Placenta|Biology|Immunology|Heat shock protein|Andrology|Western blot|Heat shock|Preeclampsia|Regulation of gene expression|Hsp70","Journal publications","Fiona Lyall|Kevin Hanretty|Alexander Fletcher|Samy Alwarfaly|Kevin P. Hanretty","PLOS ONE|Journal of Reproductive Immunology|Pregnancy Hypertension: An International Journal of Women's Cardiovascular Health|Placenta","University of Glasgow|Southern General Hospital",NA,NA
"Fang Liu","Indiana University – Purdue University Indianapolis","1",0,2013,2013,"Cancer|Downregulation and upregulation|Kinase|Apoptosis|Immunology|Pancreatic cancer|Gemcitabine|p38 mitogen-activated protein kinases|Signal transduction|Medicine","Journal publications","Murray Korc","Cancer Research","Indiana University – Purdue University Indianapolis",NA,NA
"Jagannath Misra","Chonnam National University","6",110,2011,2017,"Biology|Molecular biology|Transcription factor|Nuclear receptor|Internal medicine|Endocrinology|Chromatin immunoprecipitation|Unfolded protein response|Transcriptional regulation|Regulation of gene expression","Journal publications","Don Kyu Kim|Hueng Sik Choi|Seung-Hoi Koo|Chul-Ho Lee|Sung Hoon Back|Dipanjan Chanda|Tiangang Li|John Y. L. Chiang|Yong Hoon Kim|Seung Rye Cho","PLOS ONE|Journal of Biological Chemistry|Nucleic Acids Research|Trends in Endocrinology and Metabolism|Diabetes","Chonnam National University|Korea Research Institute of Bioscience and Biotechnology|University of Ulsan|Korea University|Northeast Ohio Medical University|Sungkyunkwan University|Gachon University|KAIST|Seoul National University|Yonsei University",NA,NA
"Trent Fowler","Tufts University","8",275,2011,2015,"Biology|Regulation of gene expression|Molecular biology|Transcription factor|RNA polymerase II|Gene|Signal transduction|BRD4|Cancer research|Cancer cell","Journal publications","Ananda L. Roy|Ronald C. Conaway|Ali Shilatifard|Joan Weliky Conaway|David H. Price|Cheng Ming Chiang|Payel Ghatak|James E. Bradner|Ranjan Sen|Alexander S. Garruss","PLOS ONE|Journal of Biological Chemistry|Molecular Cell|Epigenetics & Chromatin|Genomics data|Blood","Tufts University|Harvard University|Laboratory of Molecular Biology|Stowers Institute for Medical Research|University of Iowa|University of Texas Southwestern Medical Center|Wyss Institute for Biologically Inspired Engineering|Cincinnati Children's Hospital Medical Center|National Institutes of Health|University of California, Los Angeles",NA,NA
"Mojca Jez",NA,"4",33,2014,2019,"Biology|Gene|Induced pluripotent stem cell|Cellular differentiation|Alternative splicing|Cloning|Octamer Transcription Factor-3|Pseudogene|Genetics|Transcription factor","Journal publications|Other","Olga Kashpur|Lucy Vilner|Alexandra Grella|Sakthikumar Ambady|Christopher Malcuit|Primoz Rozman|Tanja Dominko|Elvira Malicev|Primoz Rozman|Metka Krašna","PLOS ONE|Mechanisms of Ageing and Development|Transfusion Clinique Et Biologique","Worcester Polytechnic Institute|Stanford University",NA,NA
"Zhenni Zhang","Xi'an Jiaotong University","17",120,2004,2019,"Apoptosis|Biology|Downregulation and upregulation|Medicine|Molecular biology|Pharmacology|Protein kinase B|PI3K/AKT/mTOR pathway|Cancer research|Signal transduction","Journal publications","Jianrui Lv|Rongliang Xue|Xiaoming Lei|Yong Zhang|Siyuan Li|Zongfang Li|Gang Wu|Ning Wang|Jiaxuan He|Liang-Sheng Miao","PLOS ONE|Molecular Medicine Reports|Biomedicine & Pharmacotherapy|Oncology Letters|Biochemical and Biophysical Research Communications|Journal of Pharmacy and Pharmaceutical Sciences|Lipids in Health and Disease|Computer Methods in Applied Mechanics and Engineering|Journal of Cellular Physiology|Nutritional Neuroscience","Xi'an Jiaotong University|Fourth Military Medical University",NA,NA
"Christophe Broca","French Institute of Health and Medical Research","3",35,1998,2019,"Biology|Caspase 3|Unfolded protein response|Apoptosis|Ubiquitin|Proteasome|Beta cell|Programmed cell death|Biochemistry|Signal transduction","Journal publications","Stéphane Dalle|Elodie Varin|Mathieu Pierre Jean Armanet|Domenico Bosco|Anne Wojtusciszyn|Cécile Tourrel-Cuzin|Cécile Rittore|Isabelle Touitou|Darragh Duffy|Gillian I. Rice","PLOS ONE|The Journal of Allergy and Clinical Immunology|Developmental Brain Research","French Institute of Health and Medical Research|University of Geneva|Centre national de la recherche scientifique|Paris Descartes University|Pasteur Institute|Utrecht University|University of Montpellier|Manchester Academic Health Science Centre",NA,NA
"Sylwia Flis",NA,"5",74,2007,2014,"Cancer|Biology|Cancer research|DNA methylation|Zebularine|DNA Methyltransferase Inhibitor|DNMT1|DNA methyltransferase|Decitabine|Carcinogenesis","Journal publications","Agnieszka Gnyszka|Krzysztof Flis|Jacek Splawinski|Irena Misiewicz-Krzeminska","PLOS ONE|Cancer Cell International|European Journal of Pharmacology|Biochemical and Biophysical Research Communications|Nowotwory","Polish Academy of Sciences",NA,NA
"Takaharu Nakayoshi","Kurume University","29",127,2009,2020,"Medicine|Internal medicine|Cardiology|Diabetes mellitus|Angioscopy|Neovascularization|Endothelial dysfunction|Drug-eluting stent|Stent|Cancer research","Journal publications","Ken-ichiro Sasaki|Takafumi Ueno|Shinji Yokoyama|Naoki Itaya|Hidetoshi Chibana|Masanori Ohtsuka|Yoshiaki Mitsutake|Yoshihiro Fukumoto|Hiroshi Koiwaya|Yasuyuki Toyama","PLOS ONE|Jacc-cardiovascular Interventions|Cardiovascular Intervention and Therapeutics|International Journal of Cardiology|Cardiovascular Research|Atherosclerosis|Heart and Vessels|Journal of the American College of Cardiology|Circulation|Journal of Cardiology","Kurume University|Stanford University|Fukuoka University|University of Malaya|International University of Health and Welfare|Kyoto University|Wakayama Medical University|University Malaya Medical Centre|Kyoto Sangyo University|Sysmex Corporation",NA,NA
"Yuri Churin","University of Giessen","54",82,2011,2020,"Medicine|Immunology|Biology|Hepatitis B virus|Hepatitis B|Fibrosis|Pathology|Genetically modified mouse|Immune system|Signal transduction","Journal publications|Other","Elke Roeb|Martin Roderfeld|Dieter Glebe|Daniel Zahner|Annette Tschuschner|Matthias Ocker|K Irungbam|D Schröder|Kurt Reifenberg|Roberta Montalbano","Zeitschrift Fur Gastroenterologie|PLOS ONE|Oncotarget|Laboratory Investigation|Hepatobiliary surgery and nutrition|Hepatology|Gut","University of Giessen|Max Planck Society|University of Mainz|University of Marburg|Saarland University|Otto-von-Guericke University Magdeburg|University of Düsseldorf|University Hospital Heidelberg|RWTH Aachen University|Bayer",NA,NA
"Chuan Li","China Agricultural University","3",41,2013,2014,"Biology|Heterosis|Gene expression|Arabidopsis|Ectopic expression|Molecular biology|Gene|Cell|Arabidopsis thaliana|Genetics","Journal publications","Qixin Sun|Yingyin Yao|Zhongfu Ni|Tianya Wang|Zhaorong Hu|Huiru Peng|Hua Yang|Jiewen Xing|Lingxue Meng|Cheng Wang","PLOS ONE|Proteomics|Gene","China Agricultural University",NA,NA
"Gail Doughton","University of Bath","4",47,2012,2015,"Biology|Embryoid body|Cell biology|Molecular biology|Embryonic stem cell|Cell fate determination|Histogenesis|Homeobox protein NANOG|Endoderm|Blastocoel","Journal publications","Andrew D. Chalmers|Nicolas Tapon|Melanie J. Welham|Jun Wei|Christopher J. Caunt|Matthew A Helsby|Paul Whitley|Tulay Gulsen|Benjamin Sharpe|Katrina James","PLOS ONE|BMC Cell Biology|Genesis","University of Bath|London Research Institute",NA,NA
"Liliana O. Rocha","University of São Paulo","22",349,2008,2019,"Biology|Fusarium|Mycotoxin|Botany|Fumonisin|Aspergillus flavus|Aflatoxin|Microbiology|Veterinary medicine|Agronomy","Journal publications|Other","Benedito Corrêa|Gabriela M. Reis|T. A. Reis|Viviane Kobuchi Nakai|Raquel Braghini|Vinícius M. Barroso|Edlayne Gonçalez|Edwin M. M. Ortega|Homero Fonseca|Karim C. Piacentini","Food Chemistry|PLOS ONE|International Journal of Molecular Sciences|Frontiers in Microbiology|Toxins|International Journal of Food Microbiology|Crop Protection|Applied Radiation and Isotopes|Food Control|Mycotoxin Research","University of São Paulo|American Physical Therapy Association|Instituto Biológico|Escola Superior de Agricultura Luiz de Queiroz|Instituto Adolfo Lutz|Federal University of São Carlos|Oswaldo Cruz Foundation|United States Department of Agriculture|ODESSA|Universidade Federal de Santa Maria",NA,NA
"Prabuddha Dey","Indian Institute of Technology Kharagpur","15",236,2007,2019,"Biochemistry|Biology|Yeast|Phosphorylation|Phosphatase|Chemistry|Food science|Botany|Metabolic engineering|Colletotrichum","Journal publications","Mrinal K. Maiti|George M. Carman|Gil-Soo Han|Wen-Min Su|Joydeep Banerjee|Mona Mirheydari|Natasha Das|Monami Chakraborty|Saswati Parua|Bikas R. Pati","Journal of Biological Chemistry|Bioresource Technology|PLOS ONE|Journal of Applied Microbiology|Food Chemistry|Biochemical and Biophysical Research Communications|Phytochemistry Reviews|Biochimie|Journal of Lipid Research|Fems Yeast Research","Indian Institute of Technology Kharagpur|Rutgers University|Vidyasagar University|National Institutes of Health|Kalyani Government Engineering College|Women's College, Kolkata",NA,NA
"Xiaomei Ge","Virginia Tech","9",163,2009,2014,"Biology|Molecular biology|Skeletal muscle|Myocyte|MyoD|Internal medicine|Endocrinology|Cell biology|Gene targeting|ITGA7","Journal publications","Honglin Jiang|David E. Gerrard|Xiaofei Cong|Brad M. Reinholt|Jie Yu|Haizhen Ding|Pingyang Liu|Jianyong Li|Bruce M. Christensen|Yafei Zhang","PLOS ONE|Journal of Biological Chemistry|Journal of Animal Science|Endocrinology|Molecular and Cellular Endocrinology|Molecular Endocrinology|The FASEB Journal","Virginia Tech|University of Wisconsin-Madison|Sichuan Agricultural University",NA,NA
"Xudong Shi","University of Wisconsin-Madison","38",450,2012,2019,"Intimal hyperplasia|Restenosis|Biology|Neointima|Cell biology|Chemistry|Surgery|Vascular smooth muscle|Medicine|Biochemistry","Journal publications|Other","Lian-Wang Guo|K. Craig Kent|Bowen Wang|Bo Liu|K. Craig Kent|Stephen Seedial|Lingjun Li|Guojun Chen|Shaoqin Gong|Yi Si","Arteriosclerosis, Thrombosis, and Vascular Biology|Journal of Vascular Surgery|Biomaterials|Cellular Signalling|PLOS ONE|Journal of Controlled Release|Journal of the American Society for Mass Spectrometry|Journal of The American College of Surgeons|American Journal of Physiology-heart and Circulatory Physiology|EBioMedicine","University of Wisconsin-Madison|University of Wisconsin Hospital and Clinics|Ohio State University|Cornell University|The Ohio State University Wexner Medical Center|Howard Hughes Medical Institute|Wisconsin Institutes for Discovery|University of Colorado Boulder|Pennsylvania State University|Tianjin University",NA,NA
